word,length,type,hsk_levels,appears_in_multiple_levels
一,1,single,1|2|3|4|5|6|7,yes
一一,2,compound,7,no
一下儿,3,compound,1|2|3|4|5|6|7,yes
一下子,3,compound,5|6|7,yes
一不小心,4,compound,7,no
一个劲儿,4,compound,7,no
一举,2,compound,7,no
一举一动,4,compound,7,no
一事无成,4,compound,7,no
一些,2,compound,1|2|3|4|5|6|7,yes
一代,2,compound,6|7,yes
一会儿,3,compound,1|2|3|4|5|6|7,yes
一体,2,compound,7,no
一共,2,compound,2|3|4|5|6|7,yes
一再,2,compound,4|5|6|7,yes
一切,2,compound,3|4|5|6|7,yes
一刹那,3,compound,7,no
一动不动,4,compound,7,no
一半,2,compound,1|2|3|4|5|6|7,yes
一卡通,3,compound,7,no
一口气,3,compound,5|6|7,yes
一句话,3,compound,5|6|7,yes
一同,2,compound,6|7,yes
一向,2,compound,5|6|7,yes
一味,2,compound,7,no
一回事,3,compound,7,no
一块儿,3,compound,1|2|3|4|5|6|7,yes
一塌糊涂,4,compound,7,no
一声不吭,4,compound,7,no
一大早,3,compound,7,no
一天到晚,4,compound,7,no
一头,2,compound,7,no
一如既往,4,compound,7,no
一定,2,compound,2|3|4|5|6|7,yes
一家人,3,compound,7,no
一帆风顺,4,compound,7,no
一带,2,compound,5|6|7,yes
一干二净,4,compound,7,no
一年到头,4,compound,7,no
一应俱全,4,compound,7,no
一度,2,compound,7,no
一律,2,compound,4|5|6|7,yes
一心,2,compound,7,no
一心一意,4,compound,7,no
一成不变,4,compound,7,no
一手,2,compound,7,no
一技之长,4,compound,7,no
一把手,3,compound,7,no
一揽子,3,compound,7,no
一方面,3,compound,3|4|5|6|7,yes
一旁,2,compound,7,no
一无所有,4,compound,7,no
一无所知,4,compound,7,no
一旦,2,compound,5|6|7,yes
一早,2,compound,7,no
一时,2,compound,6|7,yes
一晃,2,compound,7,no
一样,2,compound,1|2|3|4|5|6|7,yes
一概,2,compound,7,no
一概而论,4,compound,7,no
一模一样,4,compound,6|7,yes
一次性,3,compound,6|7,yes
一毛不拔,4,compound,7,no
一流,2,compound,5|6|7,yes
一点儿,3,compound,1|2|3|4|5|6|7,yes
一点点,3,compound,2|3|4|5|6|7,yes
一生,2,compound,2|3|4|5|6|7,yes
一番,2,compound,6|7,yes
一目了然,4,compound,7,no
一直,2,compound,2|3|4|5|6|7,yes
一眼,2,compound,7,no
一瞬间,3,compound,7,no
一筹莫展,4,compound,7,no
一系列,3,compound,7,no
一线,2,compound,7,no
一经,2,compound,7,no
一致,2,compound,4|5|6|7,yes
一般,2,compound,2|3|4|5|6|7,yes
一般来说,4,compound,4|5|6|7,yes
一行,2,compound,6|7,yes
一言一行,4,compound,7,no
一言不发,4,compound,7,no
一贯,2,compound,6|7,yes
一起,2,compound,1|2|3|4|5|6|7,yes
一路,2,compound,5|6|7,yes
一路上,3,compound,6|7,yes
一路平安,4,compound,2|3|4|5|6|7,yes
一路顺风,4,compound,2|3|4|5|6|7,yes
一身,2,compound,5|6|7,yes
一辈子,3,compound,5|6|7,yes
一边,2,compound,1|2|3|4|5|6|7,yes
一连,2,compound,7,no
一连串,3,compound,7,no
一道,2,compound,6|7,yes
一部分,3,compound,2|3|4|5|6|7,yes
一锅粥,3,compound,7,no
一长一短,4,compound,7,no
一阵,2,compound,7,no
一面,2,compound,7,no
一鼓作气,4,compound,7,no
一齐,2,compound,6|7,yes
丁,1,single,7,no
七,1,single,1|2|3|4|5|6|7,yes
七嘴八舌,4,compound,7,no
万,1,single,2|3|4|5|6|7,yes
万一,2,compound,4|5|6|7,yes
万万,2,compound,7,no
万分,2,compound,7,no
万古长青,4,compound,7,no
万无一失,4,compound,7,no
万能,2,compound,7,no
丈夫,2,compound,4|5|6|7,yes
三,1,single,1|2|3|4|5|6|7,yes
三明治,3,compound,6|7,yes
三番五次,4,compound,7,no
三维,2,compound,7,no
三角,2,compound,7,no
上,1,single,1|2|3|4|5|6|7,yes
上下,2,compound,5|6|7,yes
上个月,3,compound,4|5|6|7,yes
上任,2,compound,7,no
上升,2,compound,3|4|5|6|7,yes
上午,2,compound,1|2|3|4|5|6|7,yes
上去,2,compound,3|4|5|6|7,yes
上台,2,compound,6|7,yes
上司,2,compound,7,no
上周,2,compound,2|3|4|5|6|7,yes
上场,2,compound,7,no
上头,2,compound,7,no
上学,2,compound,1|2|3|4|5|6|7,yes
上岗,2,compound,7,no
上市,2,compound,6|7,yes
上帝,2,compound,6|7,yes
上当,2,compound,6|7,yes
上报,2,compound,7,no
上方,2,compound,7,no
上旬,2,compound,7,no
上映,2,compound,7,no
上期,2,compound,7,no
上来,2,compound,3|4|5|6|7,yes
上楼,2,compound,4|5|6|7,yes
上次,2,compound,1|2|3|4|5|6|7,yes
上流,2,compound,7,no
上涨,2,compound,5|6|7,yes
上游,2,compound,7,no
上演,2,compound,6|7,yes
上火,2,compound,7,no
上班,2,compound,1|2|3|4|5|6|7,yes
上班族,3,compound,6|7,yes
上瘾,2,compound,7,no
上空,2,compound,7,no
上级,2,compound,5|6|7,yes
上网,2,compound,1|2|3|4|5|6|7,yes
上衣,2,compound,3|4|5|6|7,yes
上诉,2,compound,7,no
上课,2,compound,1|2|3|4|5|6|7,yes
上调,2,compound,7,no
上车,2,compound,1|2|3|4|5|6|7,yes
上边,2,compound,1|2|3|4|5|6|7,yes
上述,2,compound,7,no
上门,2,compound,4|5|6|7,yes
上限,2,compound,7,no
上面,2,compound,3|4|5|6|7,yes
下,1,single,1|2|3|4|5|6|7,yes
下一代,3,compound,7,no
下个月,3,compound,4|5|6|7,yes
下乡,2,compound,7,no
下令,2,compound,7,no
下决心,3,compound,7,no
下功夫,3,compound,7,no
下午,2,compound,1|2|3|4|5|6|7,yes
下去,2,compound,3|4|5|6|7,yes
下台,2,compound,7,no
下周,2,compound,2|3|4|5|6|7,yes
下场,2,compound,7,no
下坠,2,compound,7,no
下属,2,compound,7,no
下山,2,compound,7,no
下岗,2,compound,7,no
下意识,3,compound,7,no
下手,2,compound,7,no
下旬,2,compound,7,no
下期,2,compound,7,no
下来,2,compound,3|4|5|6|7,yes
下棋,2,compound,7,no
下楼,2,compound,4|5|6|7,yes
下次,2,compound,1|2|3|4|5|6|7,yes
下海,2,compound,7,no
下游,2,compound,7,no
下班,2,compound,1|2|3|4|5|6|7,yes
下级,2,compound,7,no
下落,2,compound,7,no
下课,2,compound,1|2|3|4|5|6|7,yes
下调,2,compound,7,no
下跌,2,compound,7,no
下车,2,compound,1|2|3|4|5|6|7,yes
下载,2,compound,4|5|6|7,yes
下边,2,compound,1|2|3|4|5|6|7,yes
下降,2,compound,4|5|6|7,yes
下雨,2,compound,1|2|3|4|5|6|7,yes
下雪,2,compound,2|3|4|5|6|7,yes
下面,2,compound,3|4|5|6|7,yes
不,1,single,1|2|3|4|5|6|7,yes
不一会儿,4,compound,2|3|4|5|6|7,yes
不一定,3,compound,2|3|4|5|6|7,yes
不为人知,4,compound,7,no
不久,2,compound,2|3|4|5|6|7,yes
不了了之,4,compound,7,no
不予,2,compound,7,no
不亚于,3,compound,7,no
不亦乐乎,4,compound,7,no
不仅,2,compound,3|4|5|6|7,yes
不仅仅,3,compound,6|7,yes
不以为然,4,compound,7,no
不但,2,compound,2|3|4|5|6|7,yes
不便,2,compound,6|7,yes
不值,2,compound,6|7,yes
不假思索,4,compound,7,no
不停,2,compound,5|6|7,yes
不像话,3,compound,7,no
不光,2,compound,3|4|5|6|7,yes
不免,2,compound,5|6|7,yes
不再,2,compound,6|7,yes
不准,2,compound,7,no
不利,2,compound,5|6|7,yes
不利于,3,compound,7,no
不可思议,4,compound,7,no
不可避免,4,compound,7,no
不同,2,compound,2|3|4|5|6|7,yes
不同寻常,4,compound,7,no
不在乎,3,compound,4|5|6|7,yes
不堪,2,compound,7,no
不够,2,compound,2|3|4|5|6|7,yes
不大,2,compound,1|2|3|4|5|6|7,yes
不太,2,compound,2|3|4|5|6|7,yes
不好意思,4,compound,2|3|4|5|6|7,yes
不如,2,compound,2|3|4|5|6|7,yes
不如说,3,compound,7,no
不妨,2,compound,7,no
不安,2,compound,3|4|5|6|7,yes
不定,2,compound,7,no
不宜,2,compound,7,no
不客气,3,compound,1|2|3|4|5|6|7,yes
不容,2,compound,7,no
不对,2,compound,1|2|3|4|5|6|7,yes
不少,2,compound,2|3|4|5|6|7,yes
不屑,2,compound,7,no
不已,2,compound,7,no
不平,2,compound,7,no
不幸,2,compound,5|6|7,yes
不得不,3,compound,3|4|5|6|7,yes
不得了,3,compound,5|6|7,yes
不得已,3,compound,7,no
不得而知,4,compound,7,no
不必,2,compound,3|4|5|6|7,yes
不怎么,3,compound,6|7,yes
不怎么样,4,compound,6|7,yes
不惜,2,compound,7,no
不慎,2,compound,7,no
不懈,2,compound,7,no
不成,2,compound,6|7,yes
不敢当,3,compound,5|6|7,yes
不料,2,compound,6|7,yes
不断,2,compound,3|4|5|6|7,yes
不时,2,compound,5|6|7,yes
不易,2,compound,5|6|7,yes
不景气,3,compound,7,no
不曾,2,compound,5|6|7,yes
不服,2,compound,7,no
不服气,3,compound,7,no
不止,2,compound,5|6|7,yes
不正之风,4,compound,7,no
不满,2,compound,2|3|4|5|6|7,yes
不然,2,compound,4|5|6|7,yes
不理,2,compound,7,no
不用,2,compound,1|2|3|4|5|6|7,yes
不用说,3,compound,7,no
不由得,3,compound,7,no
不由自主,4,compound,7,no
不相上下,4,compound,7,no
不知,2,compound,7,no
不知不觉,4,compound,7,no
不禁,2,compound,6|7,yes
不算,2,compound,7,no
不管,2,compound,4|5|6|7,yes
不约而同,4,compound,7,no
不经意,3,compound,7,no
不翼而飞,4,compound,7,no
不耐烦,3,compound,5|6|7,yes
不耻下问,4,compound,7,no
不肯,2,compound,7,no
不能不,3,compound,5|6|7,yes
不至于,3,compound,6|7,yes
不良,2,compound,5|6|7,yes
不行,2,compound,2|3|4|5|6|7,yes
不要,2,compound,2|3|4|5|6|7,yes
不要紧,3,compound,4|5|6|7,yes
不见,2,compound,6|7,yes
不见得,3,compound,7,no
不解,2,compound,7,no
不许,2,compound,5|6|7,yes
不论,2,compound,3|4|5|6|7,yes
不起眼,3,compound,7,no
不足,2,compound,5|6|7,yes
不辞而别,4,compound,7,no
不过,2,compound,2|3|4|5|6|7,yes
不适,2,compound,7,no
不通,2,compound,6|7,yes
不错,2,compound,2|3|4|5|6|7,yes
不难,2,compound,7,no
不顾,2,compound,5|6|7,yes
与,1,single,6|7,yes
与众不同,4,compound,7,no
与其,2,compound,7,no
与否,2,compound,7,no
与日俱增,4,compound,7,no
与时俱进,4,compound,7,no
与此同时,4,compound,7,no
丑,1,single,5|6|7,yes
丑恶,2,compound,7,no
丑闻,2,compound,7,no
丑陋,2,compound,7,no
专业,2,compound,3|4|5|6|7,yes
专人,2,compound,7,no
专利,2,compound,5|6|7,yes
专制,2,compound,7,no
专卖店,3,compound,7,no
专家,2,compound,3|4|5|6|7,yes
专心,2,compound,4|5|6|7,yes
专柜,2,compound,7,no
专栏,2,compound,7,no
专注,2,compound,7,no
专用,2,compound,6|7,yes
专程,2,compound,7,no
专职,2,compound,7,no
专著,2,compound,7,no
专辑,2,compound,5|6|7,yes
专长,2,compound,7,no
专门,2,compound,3|4|5|6|7,yes
专题,2,compound,3|4|5|6|7,yes
且,1,single,7,no
世代,2,compound,7,no
世故,2,compound,7,no
世界,2,compound,3|4|5|6|7,yes
世界杯,3,compound,3|4|5|6|7,yes
世界级,3,compound,7,no
世纪,2,compound,3|4|5|6|7,yes
世袭,2,compound,7,no
丘陵,2,compound,7,no
丙,1,single,7,no
业,1,single,7,no
业余,2,compound,4|5|6|7,yes
业务,2,compound,5|6|7,yes
业绩,2,compound,7,no
丛林,2,compound,7,no
东,1,single,1|2|3|4|5|6|7,yes
东北,2,compound,2|3|4|5|6|7,yes
东南,2,compound,2|3|4|5|6|7,yes
东奔西走,4,compound,7,no
东张西望,4,compound,7,no
东方,2,compound,2|3|4|5|6|7,yes
东西,2,compound,1|2|3|4|5|6|7,yes
东边,2,compound,1|2|3|4|5|6|7,yes
东道主,3,compound,7,no
东部,2,compound,3|4|5|6|7,yes
丝,1,single,7,no
丝毫,2,compound,7,no
丝绸,2,compound,7,no
丢,1,single,5|6|7,yes
丢人,2,compound,7,no
丢失,2,compound,7,no
丢弃,2,compound,7,no
丢掉,2,compound,7,no
丢脸,2,compound,7,no
两,1,single,1|2|3|4|5|6|7,yes
两侧,2,compound,6|7,yes
两口子,3,compound,7,no
两岸,2,compound,5|6|7,yes
两手,2,compound,6|7,yes
两栖,2,compound,7,no
两边,2,compound,4|5|6|7,yes
严,1,single,4|5|6|7,yes
严厉,2,compound,5|6|7,yes
严密,2,compound,7,no
严峻,2,compound,7,no
严格,2,compound,4|5|6|7,yes
严禁,2,compound,7,no
严肃,2,compound,5|6|7,yes
严谨,2,compound,7,no
严重,2,compound,4|5|6|7,yes
丧失,2,compound,6|7,yes
丧生,2,compound,7,no
个,1,single,1|2|3|4|5|6|7,yes
个人,2,compound,3|4|5|6|7,yes
个体,2,compound,4|5|6|7,yes
个儿,2,compound,5|6|7,yes
个别,2,compound,4|5|6|7,yes
个头儿,3,compound,7,no
个子,2,compound,2|3|4|5|6|7,yes
个性,2,compound,3|4|5|6|7,yes
个案,2,compound,7,no
丫头,2,compound,7,no
中,1,single,1|2|3|4|5|6|7,yes
中介,2,compound,4|5|6|7,yes
中医,2,compound,2|3|4|5|6|7,yes
中午,2,compound,1|2|3|4|5|6|7,yes
中华,2,compound,6|7,yes
中华民族,4,compound,3|4|5|6|7,yes
