word,length,type,unique_to_level,also_appears_in_levels,character_count
一,1,single,no,2|3|4|5|6|7,1
一下儿,3,compound,no,2|3|4|5|6|7,3
一些,2,compound,no,2|3|4|5|6|7,2
一会儿,3,compound,no,2|3|4|5|6|7,3
一半,2,compound,no,2|3|4|5|6|7,2
一块儿,3,compound,no,2|3|4|5|6|7,3
一样,2,compound,no,2|3|4|5|6|7,2
一点儿,3,compound,no,2|3|4|5|6|7,3
一起,2,compound,no,2|3|4|5|6|7,2
一边,2,compound,no,2|3|4|5|6|7,2
七,1,single,no,2|3|4|5|6|7,1
三,1,single,no,2|3|4|5|6|7,1
上,1,single,no,2|3|4|5|6|7,1
上午,2,compound,no,2|3|4|5|6|7,2
上学,2,compound,no,2|3|4|5|6|7,2
上次,2,compound,no,2|3|4|5|6|7,2
上班,2,compound,no,2|3|4|5|6|7,2
上网,2,compound,no,2|3|4|5|6|7,2
上课,2,compound,no,2|3|4|5|6|7,2
上车,2,compound,no,2|3|4|5|6|7,2
上边,2,compound,no,2|3|4|5|6|7,2
下,1,single,no,2|3|4|5|6|7,1
下午,2,compound,no,2|3|4|5|6|7,2
下次,2,compound,no,2|3|4|5|6|7,2
下班,2,compound,no,2|3|4|5|6|7,2
下课,2,compound,no,2|3|4|5|6|7,2
下车,2,compound,no,2|3|4|5|6|7,2
下边,2,compound,no,2|3|4|5|6|7,2
下雨,2,compound,no,2|3|4|5|6|7,2
不,1,single,no,2|3|4|5|6|7,1
不大,2,compound,no,2|3|4|5|6|7,2
不客气,3,compound,no,2|3|4|5|6|7,3
不对,2,compound,no,2|3|4|5|6|7,2
不用,2,compound,no,2|3|4|5|6|7,2
东,1,single,no,2|3|4|5|6|7,1
东西,2,compound,no,2|3|4|5|6|7,2
东边,2,compound,no,2|3|4|5|6|7,2
两,1,single,no,2|3|4|5|6|7,1
个,1,single,no,2|3|4|5|6|7,1
中,1,single,no,2|3|4|5|6|7,1
中午,2,compound,no,2|3|4|5|6|7,2
中国,2,compound,no,2|3|4|5|6|7,2
中学,2,compound,no,2|3|4|5|6|7,2
中学生,3,compound,no,2|3|4|5|6|7,3
中文,2,compound,no,2|3|4|5|6|7,2
中间,2,compound,no,2|3|4|5|6|7,2
九,1,single,no,2|3|4|5|6|7,1
也,1,single,no,2|3|4|5|6|7,1
书,1,single,no,2|3|4|5|6|7,1
书包,2,compound,no,2|3|4|5|6|7,2
书店,2,compound,no,2|3|4|5|6|7,2
买,1,single,no,2|3|4|5|6|7,1
了,1,single,no,2|3|4|5|6|7,1
事,1,single,no,2|3|4|5|6|7,1
二,1,single,no,2|3|4|5|6|7,1
五,1,single,no,2|3|4|5|6|7,1
人,1,single,no,2|3|4|5|6|7,1
什么,2,compound,no,2|3|4|5|6|7,2
今天,2,compound,no,2|3|4|5|6|7,2
今年,2,compound,no,2|3|4|5|6|7,2
介绍,2,compound,no,2|3|4|5|6|7,2
从,1,single,no,2|3|4|5|6|7,1
他,1,single,no,2|3|4|5|6|7,1
他们,2,compound,no,2|3|4|5|6|7,2
们,1,single,no,2|3|4|5|6|7,1
们,1,single,no,2|3|4|5|6|7,1
休息,2,compound,no,2|3|4|5|6|7,2
会,1,single,no,2|3|4|5|6|7,1
住,1,single,no,2|3|4|5|6|7,1
你,1,single,no,2|3|4|5|6|7,1
你们,2,compound,no,2|3|4|5|6|7,2
做,1,single,no,2|3|4|5|6|7,1
儿子,2,compound,no,2|3|4|5|6|7,2
元,1,single,no,2|3|4|5|6|7,1
先,1,single,no,2|3|4|5|6|7,1
先生,2,compound,no,2|3|4|5|6|7,2
八,1,single,no,2|3|4|5|6|7,1
六,1,single,no,2|3|4|5|6|7,1
关,1,single,no,2|3|4|5|6|7,1
关上,2,compound,no,2|3|4|5|6|7,2
再,1,single,no,2|3|4|5|6|7,1
再见,2,compound,no,2|3|4|5|6|7,2
写,1,single,no,2|3|4|5|6|7,1
冷,1,single,no,2|3|4|5|6|7,1
准备,2,compound,no,2|3|4|5|6|7,2
几,1,single,no,2|3|4|5|6|7,1
出,1,single,no,2|3|4|5|6|7,1
出去,2,compound,no,2|3|4|5|6|7,2
出来,2,compound,no,2|3|4|5|6|7,2
分,1,single,no,2|3|4|5|6|7,1
别,1,single,no,2|3|4|5|6|7,1
别人,2,compound,no,2|3|4|5|6|7,2
别的,2,compound,no,2|3|4|5|6|7,2
