word,length,type,unique_to_level,also_appears_in_levels,character_count
一,1,single,no,1|2|4|5|6|7,1
一下儿,3,compound,no,1|2|4|5|6|7,3
一些,2,compound,no,1|2|4|5|6|7,2
一会儿,3,compound,no,1|2|4|5|6|7,3
一共,2,compound,no,2|4|5|6|7,2
一切,2,compound,no,4|5|6|7,2
一半,2,compound,no,1|2|4|5|6|7,2
一块儿,3,compound,no,1|2|4|5|6|7,3
一定,2,compound,no,2|4|5|6|7,2
一方面,3,compound,no,4|5|6|7,3
一样,2,compound,no,1|2|4|5|6|7,2
一点儿,3,compound,no,1|2|4|5|6|7,3
一点点,3,compound,no,2|4|5|6|7,2
一生,2,compound,no,2|4|5|6|7,2
一直,2,compound,no,2|4|5|6|7,2
一般,2,compound,no,2|4|5|6|7,2
一起,2,compound,no,1|2|4|5|6|7,2
一路平安,4,compound,no,2|4|5|6|7,4
一路顺风,4,compound,no,2|4|5|6|7,4
一边,2,compound,no,1|2|4|5|6|7,2
一部分,3,compound,no,2|4|5|6|7,3
七,1,single,no,1|2|4|5|6|7,1
万,1,single,no,2|4|5|6|7,1
三,1,single,no,1|2|4|5|6|7,1
上,1,single,no,1|2|4|5|6|7,1
上升,2,compound,no,4|5|6|7,2
上午,2,compound,no,1|2|4|5|6|7,2
上去,2,compound,no,4|5|6|7,2
上周,2,compound,no,2|4|5|6|7,2
上学,2,compound,no,1|2|4|5|6|7,2
上来,2,compound,no,4|5|6|7,2
上次,2,compound,no,1|2|4|5|6|7,2
上班,2,compound,no,1|2|4|5|6|7,2
上网,2,compound,no,1|2|4|5|6|7,2
上衣,2,compound,no,4|5|6|7,2
上课,2,compound,no,1|2|4|5|6|7,2
上车,2,compound,no,1|2|4|5|6|7,2
上边,2,compound,no,1|2|4|5|6|7,2
上面,2,compound,no,4|5|6|7,2
下,1,single,no,1|2|4|5|6|7,1
下午,2,compound,no,1|2|4|5|6|7,2
下去,2,compound,no,4|5|6|7,2
下周,2,compound,no,2|4|5|6|7,2
下来,2,compound,no,4|5|6|7,2
下次,2,compound,no,1|2|4|5|6|7,2
下班,2,compound,no,1|2|4|5|6|7,2
下课,2,compound,no,1|2|4|5|6|7,2
下车,2,compound,no,1|2|4|5|6|7,2
下边,2,compound,no,1|2|4|5|6|7,2
下雨,2,compound,no,1|2|4|5|6|7,2
下雪,2,compound,no,2|4|5|6|7,2
下面,2,compound,no,4|5|6|7,2
不,1,single,no,1|2|4|5|6|7,1
不一会儿,4,compound,no,2|4|5|6|7,4
不一定,3,compound,no,2|4|5|6|7,3
不久,2,compound,no,2|4|5|6|7,2
不仅,2,compound,no,4|5|6|7,2
不但,2,compound,no,2|4|5|6|7,2
不光,2,compound,no,4|5|6|7,2
不同,2,compound,no,2|4|5|6|7,2
