word,length,type,unique_to_level,also_appears_in_levels,character_count
一代,2,compound,yes,none,2
一同,2,compound,yes,none,2
一时,2,compound,yes,none,2
一模一样,4,compound,yes,none,3
一次性,3,compound,yes,none,3
一番,2,compound,yes,none,2
一行,2,compound,yes,none,2
一贯,2,compound,yes,none,2
一路上,3,compound,yes,none,3
一道,2,compound,yes,none,2
一齐,2,compound,yes,none,2
三明治,3,compound,yes,none,3
上台,2,compound,yes,none,2
上市,2,compound,yes,none,2
上帝,2,compound,yes,none,2
上当,2,compound,yes,none,2
上演,2,compound,yes,none,2
上班族,3,compound,yes,none,3
不仅仅,3,compound,yes,none,2
不便,2,compound,yes,none,2
不值,2,compound,yes,none,2
不再,2,compound,yes,none,2
不怎么,3,compound,yes,none,3
不怎么样,4,compound,yes,none,4
不成,2,compound,yes,none,2
不料,2,compound,yes,none,2
不禁,2,compound,yes,none,2
不至于,3,compound,yes,none,3
不见,2,compound,yes,none,2
不通,2,compound,yes,none,2
与,1,single,yes,none,1
专用,2,compound,yes,none,2
两侧,2,compound,yes,none,2
两手,2,compound,yes,none,2
丧失,2,compound,yes,none,2
中华,2,compound,yes,none,2
中外,2,compound,yes,none,2
中期,2,compound,yes,none,2
中等,2,compound,yes,none,2
串,1,single,yes,none,1
为何,2,compound,yes,none,2
为此,2,compound,yes,none,2
主持人,3,compound,yes,none,3
主流,2,compound,yes,none,2
主角,2,compound,yes,none,2
之类,2,compound,yes,none,2
乌云,2,compound,yes,none,2
乐曲,2,compound,yes,none,2
书房,2,compound,yes,none,2
乳制品,3,compound,yes,none,3
争夺,2,compound,yes,none,2
事后,2,compound,yes,none,2
于,1,single,yes,none,1
互动,2,compound,yes,none,2
井,1,single,yes,none,1
产量,2,compound,yes,none,2
亲属,2,compound,yes,none,2
亲眼,2,compound,yes,none,2
人权,2,compound,yes,none,2
从不,2,compound,yes,none,2
从没,2,compound,yes,none,2
仓库,2,compound,yes,none,2
仪器,2,compound,yes,none,2
仪式,2,compound,yes,none,2
仰,1,single,yes,none,1
仿佛,2,compound,yes,none,2
企图,2,compound,yes,none,2
优质,2,compound,yes,none,2
会见,2,compound,yes,none,2
会长,2,compound,yes,none,2
传出,2,compound,yes,none,2
传媒,2,compound,yes,none,2
传言,2,compound,yes,none,2
传输,2,compound,yes,none,2
伤亡,2,compound,yes,none,2
伤口,2,compound,yes,none,2
伤员,2,compound,yes,none,2
低头,2,compound,yes,none,2
低温,2,compound,yes,none,2
住宅,2,compound,yes,none,2
佛,1,single,yes,none,1
佛教,2,compound,yes,none,2
作,1,single,yes,none,1
作废,2,compound,yes,none,2
作战,2,compound,yes,none,2
供给,2,compound,yes,none,2
依次,2,compound,yes,none,2
依赖,2,compound,yes,none,2
侧,1,single,yes,none,1
侵犯,2,compound,yes,none,2
便,1,single,yes,none,1
便是,2,compound,yes,none,2
保健,2,compound,yes,none,2
信仰,2,compound,yes,none,2
信用,2,compound,yes,none,2
修车,2,compound,yes,none,2
借鉴,2,compound,yes,none,2
债,1,single,yes,none,1
倾向,2,compound,yes,none,2
假日,2,compound,yes,none,2
偏,1,single,yes,none,1
傍晚,2,compound,yes,none,2
储存,2,compound,yes,none,2
儿科,2,compound,yes,none,2
允许,2,compound,yes,none,2
元素,2,compound,yes,none,2
先锋,2,compound,yes,none,2
光辉,2,compound,yes,none,2
免得,2,compound,yes,none,2
党,1,single,yes,none,1
入,1,single,yes,none,1
入学,2,compound,yes,none,2
全力,2,compound,yes,none,2
全新,2,compound,yes,none,2
公,1,single,yes,none,1
公主,2,compound,yes,none,2
公众,2,compound,yes,none,2
公安,2,compound,yes,none,2
公鸡,2,compound,yes,none,2
关爱,2,compound,yes,none,2
关联,2,compound,yes,none,2
兴旺,2,compound,yes,none,2
养老,2,compound,yes,none,2
内地,2,compound,yes,none,2
内外,2,compound,yes,none,2
内衣,2,compound,yes,none,2
再生,2,compound,yes,none,2
再说,2,compound,yes,none,2
写字台,3,compound,yes,none,3
写字楼,3,compound,yes,none,3
军事,2,compound,yes,none,2
军舰,2,compound,yes,none,2
军队,2,compound,yes,none,2
冲击,2,compound,yes,none,2
决策,2,compound,yes,none,2
冷气,2,compound,yes,none,2
冷水,2,compound,yes,none,2
净,1,single,yes,none,1
凉鞋,2,compound,yes,none,2
凡是,2,compound,yes,none,2
凶,1,single,yes,none,1
凶手,2,compound,yes,none,2
出事,2,compound,yes,none,2
出入,2,compound,yes,none,2
出动,2,compound,yes,none,2
出台,2,compound,yes,none,2
出名,2,compound,yes,none,2
出场,2,compound,yes,none,2
出行,2,compound,yes,none,2
出访,2,compound,yes,none,2
出路,2,compound,yes,none,2
出面,2,compound,yes,none,2
分工,2,compound,yes,none,2
分裂,2,compound,yes,none,2
切实,2,compound,yes,none,2
刚好,2,compound,yes,none,2
创办,2,compound,yes,none,2
创建,2,compound,yes,none,2
创意,2,compound,yes,none,2
初等,2,compound,yes,none,2
判,1,single,yes,none,1
利,1,single,yes,none,1
刮,1,single,yes,none,1
到期,2,compound,yes,none,2
券,1,single,yes,none,1
前方,2,compound,yes,none,2
前来,2,compound,yes,none,2
剑,1,single,yes,none,1
剧,1,single,yes,none,1
副,1,single,yes,none,1
办事处,3,compound,yes,none,3
办公,2,compound,yes,none,2
办学,2,compound,yes,none,2
加盟,2,compound,yes,none,2
动画,2,compound,yes,none,2
勺,1,single,yes,none,1
化解,2,compound,yes,none,2
区分,2,compound,yes,none,2
医药,2,compound,yes,none,2
升值,2,compound,yes,none,2
升学,2,compound,yes,none,2
升级,2,compound,yes,none,2
半决赛,3,compound,yes,none,3
协会,2,compound,yes,none,2
协助,2,compound,yes,none,2
协商,2,compound,yes,none,2
协调,2,compound,yes,none,2
单打,2,compound,yes,none,2
占据,2,compound,yes,none,2
卧铺,2,compound,yes,none,2
印,1,single,yes,none,1
危机,2,compound,yes,none,2
却是,2,compound,yes,none,2
厂商,2,compound,yes,none,2
压迫,2,compound,yes,none,2
厕所,2,compound,yes,none,2
原,1,single,yes,none,1
原告,2,compound,yes,none,2
原谅,2,compound,yes,none,2
厨师,2,compound,yes,none,2
去掉,2,compound,yes,none,2
参展,2,compound,yes,none,2
参赛,2,compound,yes,none,2
双打,2,compound,yes,none,2
反响,2,compound,yes,none,2
反抗,2,compound,yes,none,2
反问,2,compound,yes,none,2
发怒,2,compound,yes,none,2
发放,2,compound,yes,none,2
发炎,2,compound,yes,none,2
发电,2,compound,yes,none,2
发病,2,compound,yes,none,2
发言人,3,compound,yes,none,3
发起,2,compound,yes,none,2
取款,2,compound,yes,none,2
取款机,3,compound,yes,none,3
变形,2,compound,yes,none,2
变换,2,compound,yes,none,2
变更,2,compound,yes,none,2
口试,2,compound,yes,none,2
古典,2,compound,yes,none,2
另,1,single,yes,none,1
只得,2,compound,yes,none,2
只管,2,compound,yes,none,2
只顾,2,compound,yes,none,2
台灯,2,compound,yes,none,2
司长,2,compound,yes,none,2
叹气,2,compound,yes,none,2
合约,2,compound,yes,none,2
吉利,2,compound,yes,none,2
吉祥,2,compound,yes,none,2
吊,1,single,yes,none,1
同,1,single,yes,none,1
同一,2,compound,yes,none,2
同期,2,compound,yes,none,2
同胞,2,compound,yes,none,2
同行,2,compound,yes,none,2
名义,2,compound,yes,none,2
名胜,2,compound,yes,none,2
名誉,2,compound,yes,none,2
名额,2,compound,yes,none,2
吞,1,single,yes,none,1
听取,2,compound,yes,none,2
吸毒,2,compound,yes,none,2
命,1,single,yes,none,1
和谐,2,compound,yes,none,2
咨询,2,compound,yes,none,2
品牌,2,compound,yes,none,2
哇,1,single,yes,none,1
响声,2,compound,yes,none,2
哲学,2,compound,yes,none,2
商城,2,compound,yes,none,2
啦,1,single,yes,none,1
嘉宾,2,compound,yes,none,2
嘛,1,single,yes,none,1
四处,2,compound,yes,none,2
回应,2,compound,yes,none,2
因,1,single,yes,none,1
因素,2,compound,yes,none,2
团队,2,compound,yes,none,2
园,1,single,yes,none,1
园地,2,compound,yes,none,2
国产,2,compound,yes,none,2
国会,2,compound,yes,none,2
国旗,2,compound,yes,none,2
国歌,2,compound,yes,none,2
国王,2,compound,yes,none,2
图书,2,compound,yes,none,2
圆珠笔,3,compound,yes,none,3
圣诞节,3,compound,yes,none,3
地下室,3,compound,yes,none,3
地名,2,compound,yes,none,2
地板,2,compound,yes,none,2
场地,2,compound,yes,none,2
场景,2,compound,yes,none,2
场馆,2,compound,yes,none,2
坡,1,single,yes,none,1
埋,1,single,yes,none,1
城乡,2,compound,yes,none,2
城区,2,compound,yes,none,2
城镇,2,compound,yes,none,2
基督教,3,compound,yes,none,3
塔,1,single,yes,none,1
塞,1,single,yes,none,1
墓,1,single,yes,none,1
增值,2,compound,yes,none,2
增进,2,compound,yes,none,2
墨水,2,compound,yes,none,2
壮观,2,compound,yes,none,2
壶,1,single,yes,none,1
处处,2,compound,yes,none,1
处长,2,compound,yes,none,2
复苏,2,compound,yes,none,2
外出,2,compound,yes,none,2
外头,2,compound,yes,none,2
外币,2,compound,yes,none,2
外来,2,compound,yes,none,2
外科,2,compound,yes,none,2
外衣,2,compound,yes,none,2
外观,2,compound,yes,none,2
外资,2,compound,yes,none,2
外部,2,compound,yes,none,2
多半,2,compound,yes,none,2
多媒体,3,compound,yes,none,3
多方面,3,compound,yes,none,3
大使,2,compound,yes,none,2
大力,2,compound,yes,none,2
大师,2,compound,yes,none,2
大批,2,compound,yes,none,2
大米,2,compound,yes,none,2
大街,2,compound,yes,none,2
大赛,2,compound,yes,none,2
大道,2,compound,yes,none,2
天下,2,compound,yes,none,2
天堂,2,compound,yes,none,2
天然,2,compound,yes,none,2
太阳能,3,compound,yes,none,3
头疼,2,compound,yes,none,2
夺,1,single,yes,none,1
夺取,2,compound,yes,none,2
奇妙,2,compound,yes,none,2
奉献,2,compound,yes,none,2
奏,1,single,yes,none,1
奔跑,2,compound,yes,none,2
奶牛,2,compound,yes,none,2
奶粉,2,compound,yes,none,2
好不容易,4,compound,yes,none,4
好似,2,compound,yes,none,2
好学,2,compound,yes,none,2
好容易,3,compound,yes,none,3
好容易,3,compound,yes,none,3
好转,2,compound,yes,none,2
如,1,single,yes,none,1
如一,2,compound,yes,none,2
妇女,2,compound,yes,none,2
妙,1,single,yes,none,1
姑姑,2,compound,yes,none,1
威胁,2,compound,yes,none,2
娃娃,2,compound,yes,none,1
娱乐,2,compound,yes,none,2
嫌,1,single,yes,none,1
孤儿,2,compound,yes,none,2
孤独,2,compound,yes,none,2
学会,2,compound,yes,none,2
学员,2,compound,yes,none,2
宇航员,3,compound,yes,none,3
安检,2,compound,yes,none,2
宏大,2,compound,yes,none,2
宗教,2,compound,yes,none,2
