word,syllable_count,frequency,etymology_origin,tone_pattern,pos_tags
yêu,1,50,sino_vietnamese,low_rising,v
thích,1,50,native_vietnamese,low_rising,v
tám,1,50,native_vietnamese,low_rising,m
ba,1,15,sino_vietnamese,level tone,n
bố,1,15,sino_vietnamese,low_rising,n
bar,1,50,sino_vietnamese,neutral,n
trắng,1,50,sino_vietnamese,high_level,n
ngày,1,15,sino_vietnamese,high_level,n
trăm,1,25,sino_vietnamese,high_level,m
lớp,1,50,sino_vietnamese,rising,n
nửa,1,25,sino_vietnamese,low_rising,n
nửa năm,2,50,sino_vietnamese,giọng trầm cho cả hai âm,n
nửa ngày,2,45,native_vietnamese,mid_rising,n
giúp,1,50,sino_vietnamese,rising,v
giúp đỡ,2,50,native_vietnamese,rising then falling-rising tone,v
bao,1,50,sino_vietnamese,low_rising,v|n
bánh bao,2,45,sino_vietnamese,high level, high level,n
cốc,1,50,sino_vietnamese,flat,n
cốc,1,20,native_vietnamese,low_rising,n
bắc,1,15,sino_vietnamese,low_tone,n
phía bắc,2,50,sino_vietnamese,low_high,n
Thành Đô,2,25,sino_vietnamese,level tone, level tone,n
gốc,1,50,native_vietnamese,low_rising,n
bản,1,50,sino_vietnamese,low_rising,n
so sánh,2,50,sino_vietnamese,low_rising,v
biệt,1,50,sino_vietnamese,rising,v
khác,1,50,native_vietnamese,low_rising,a
người khác,2,45,sino_vietnamese,rising then falling,n
bệnh,1,50,sino_vietnamese,falling,n|v
bệnh nhân,2,50,sino_vietnamese,low_low,n
không,1,15,native_vietnamese,low_rising,a|v
không quá,2,45,sino_vietnamese,falling,a
không đúng,2,35,sino_vietnamese,low falling then high rising,a
Không sao,2,50,native_vietnamese,low_rising, high_falling,n
không cần,2,50,native_vietnamese,low_tone,v
rau,1,50,sino_vietnamese,high_level,n
trà,1,50,sino_vietnamese,rising,n
khác,1,50,native_vietnamese,low_rising,a
thường,1,25,sino_vietnamese,high_level,a|m
thường,1,50,native_vietnamese,rising,a
hát,1,25,sino_vietnamese,low_rising,v
hát,1,50,native_vietnamese,low_rising,v
xe,1,50,sino_vietnamese,high_level,n
vé,1,25,native_vietnamese,high_tone,n
xe,1,12,native_vietnamese,low,n
ga,1,45,sino_vietnamese,level_tone,n
ăn,1,15,sino_vietnamese,high_tone,v
ăn cơm,2,15,sino_vietnamese,rising tone on both syllables,v
ra,1,50,sino_vietnamese,low_tone,v
ra,1,50,native_vietnamese,low_tone,v
đi ra,2,50,native_vietnamese,tone3 + tone2,v
mặc,1,50,sino_vietnamese,low_rising,v
giường,1,15,sino_vietnamese,low_tone,n
thứ,1,45,sino_vietnamese,low_rising,m
theo,1,50,sino_vietnamese,low_falling,v
sai,1,50,sino_vietnamese,falling_tone,a|v
đập,1,50,sino_vietnamese,falling,v
đi taxi,2,50,sino_vietnamese,low_rising, neutral,v
gọi điện thoại,3,35,sino_vietnamese,low_rising,v
mở,1,50,sino_vietnamese,low_rising,v
đánh bóng,2,45,sino_vietnamese,low_rising,v
lớn,1,12,sino_vietnamese,low_rising,a|n
đại học,2,50,sino_vietnamese,high_level_low_falling,n
sinh viên đại học,4,35,sino_vietnamese,low_rising,n
đến,1,50,native_vietnamese,low_rising,v
đất,1,50,native_vietnamese,low_rising,n
nơi,1,25,native_vietnamese,falling,n
phương,1,50,native_vietnamese,low_rising,n
trên mặt đất,3,45,native_vietnamese,low_rising,n
bản đồ,2,45,sino_vietnamese,low_rising, mid_level,n
của,1,50,sino_vietnamese,falling,p|n
nhận được,2,45,sino_vietnamese,low_rising,v
chờ,1,50,sino_vietnamese,mid_falling,v
em,1,15,sino_vietnamese,high,n
em trai,2,45,native_vietnamese,falling_tone,n
thứ,1,50,sino_vietnamese,low_rising,m
thứ,1,50,sino_vietnamese,low_rising,m
thứ hai,2,35,sino_vietnamese,low falling then rising,n
điểm,1,50,sino_vietnamese,falling,n|v
điện,1,50,sino_vietnamese,falling,n|v
điện thoại,2,25,sino_vietnamese,rising_rising,n
máy tính,2,50,sino_vietnamese,high-level then rising,n
ti vi,2,50,sino_vietnamese,mid_mid,n
máy truyền hình,3,50,sino_vietnamese,low_rising, low_rising, high_level,n
phim,1,50,sino_vietnamese,rising,n
rạp chiếu phim,3,35,sino_vietnamese,low_rising,n
đông,1,50,native_vietnamese,high_level,n
phía đông,2,45,sino_vietnamese,low_rising,n
đồ,1,25,sino_vietnamese,high level tone,n
động,1,45,sino_vietnamese,low_rising,v
hành động,2,45,sino_vietnamese,low_rising,n
đều,1,50,sino_vietnamese,rising,a|v
đọc,1,50,sino_vietnamese,rising,v
học,1,15,sino_vietnamese,high,v
đúng,1,12,native_vietnamese,low_rising,a
xin lỗi,2,50,sino_vietnamese,low tone,v
nhiều,1,12,sino_vietnamese,high_level,a
bao nhiêu,2,50,native_vietnamese,rising then falling-rising,m
no,1,15,sino_vietnamese,low_rising,a
con trai,2,45,native_vietnamese,falling_tone,n
hai,1,15,sino_vietnamese,low_rising,m
bữa ăn,2,15,sino_vietnamese,low_rising,n
nhà hàng,2,50,sino_vietnamese,low_flat,n
phòng,1,50,native_vietnamese,low_rising,n
nhà,1,12,native_vietnamese,high_level,n
thả,1,50,sino_vietnamese,low_rising,v
nghỉ phép,2,45,sino_vietnamese,low_rising,v
tan hoc,2,45,sino_vietnamese,level tone, level tone,v
bay,1,50,sino_vietnamese,high_level_tone,v
máy bay,2,50,sino_vietnamese,falling_rising_high,n
rất,1,50,native_vietnamese,low_tone,d
chia,2,50,native_vietnamese,falling,v
gió,1,15,sino_vietnamese,low,n
khô,1,50,sino_vietnamese,low_rising,a
sạch,1,25,sino_vietnamese,high level tone,a
bạn đang làm gì,4,25,sino_vietnamese,level_tone_level_tone_level_tone_level_tone,v
cao,1,50,sino_vietnamese,low_rising,a|v
vui,1,50,native_vietnamese,falling,a
nói,1,50,sino_vietnamese,low_rising,v
anhsao,2,50,sino_vietnamese,falling,n
anh trai,2,45,native_vietnamese,low then high,n
bài hát,2,25,sino_vietnamese,low_rising,n
một,1,50,native_vietnamese,low_rising,m
cho,1,50,sino_vietnamese,low_rising,v
theo,1,45,sino_vietnamese,rising,v
công nhân,2,50,sino_vietnamese,low_rising, high,n
công việc,2,15,sino_vietnamese,mid_falling_low_rising,n
khép,1,50,sino_vietnamese,high_level,v
đóng,1,50,sino_vietnamese,low_rising,v
đắt,1,25,sino_vietnamese,low_rising,a
quốc,1,15,sino_vietnamese,low_rising,n
quốc gia,2,50,sino_vietnamese,low_rising, mid_level,n
nước ngoài,2,25,sino_vietnamese,rising tone on both syllables,n
qua,1,50,sino_vietnamese,high_level,v
vẫn,1,50,sino_vietnamese,low_rising,d|v
vẫn,1,15,sino_vietnamese,low_rising,a
còn,1,25,native_vietnamese,low_rising,a
trẻ,1,50,sino_vietnamese,low_rising,n
tiếng Trung,2,50,sino_vietnamese,low_rising, rising,n
hán tự,2,50,sino_vietnamese,low_rising,n
tốt,1,50,sino_vietnamese,low_rising,a
ngon,1,15,native_vietnamese,falling,a
xinh,1,50,native_vietnamese,mid_level,a
nghe hay,2,45,sino_vietnamese,rising tone on both syllables,v
hay chơi,2,45,sino_vietnamese,low_rising,a
hạng,1,50,sino_vietnamese,low_rising,n
uống,1,15,sino_vietnamese,low_rising,v
trộn,1,50,sino_vietnamese,low_rising,v
rất,1,15,native_vietnamese,low_rising,a
sau,1,50,sino_vietnamese,rising,n
sau,1,50,native_vietnamese,low_rising,a|n
ngày mai mai,3,50,sino_vietnamese,rising_rising_rising,n
hoa,1,50,sino_vietnamese,rising,n
nói,1,50,sino_vietnamese,falling,n|v
xấu,1,25,sino_vietnamese,low_rising,a
về,1,50,native_vietnamese,mid_tone,v
trả lời,2,25,sino_vietnamese,low_rising,v
trở về,2,50,sino_vietnamese,low_low,v
về nhà,2,50,native_vietnamese,mid tone for both syllables,v|n
về lại,2,45,sino_vietnamese,low_rising,v
về,1,25,sino_vietnamese,falling,v
gặp,1,50,sino_vietnamese,low_rising,v
tàu,1,50,sino_vietnamese,rising,n
sân bay,2,50,french_loanword,low_level then rising,n
vé máy bay,3,50,sino_vietnamese,rising, falling-rising, rising,n
trứng gà,2,25,sino_vietnamese,high_high,n
mấy,1,25,sino_vietnamese,low_rising,m|a
ghi,1,50,sino_vietnamese,low_rising,v
nhớ,1,25,native_vietnamese,mid-falling tone,v
nhớ,1,15,sino_vietnamese,high_level,v
gia đình,2,50,native_vietnamese,mid_rising,n
nhà,1,15,native_vietnamese,high,n
người thân,2,45,sino_vietnamese,falling_tone,n
giữa,1,50,sino_vietnamese,low_rising,p
thấy,1,50,sino_vietnamese,high_level,v
