simplified,vietnamese,pinyin,english,hsk_level
啊,,ā,interjection of surprise; Ah!; Oh!,3
爱,,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),3
爱好,,ài hào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,3
爱情,,ài qíng,romance; love (romantic),3
爱人,,ài ren,spouse (PRC); lover (non-PRC),3
爱心,,ài xīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",3
安静,,ān jìng,quiet; peaceful; calm,3
安排,,ān pái,to arrange; to plan; to set up; arrangements; plans,3
安全,,ān quán,safe; secure; safety; security,3
安装,,ān zhuāng,to install; to erect; to fix; to mount; installation,3
按,,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,3
按照,,àn zhào,according to; in accordance with; in the light of; on the basis of,3
八,,bā,eight; 8,3
把,,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",3
把握,,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),3
爸,,bà,father; dad; pa; papa,3
爸爸,,bà ba,(coll.) father; dad,3
吧,,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",3
白,,Bái,surname Bai,3
白菜,,bái cài,Chinese cabbage; pak choi,3
白色,,bái sè,white; fig. reactionary; anti-communist,3
白天,,bái tiān,daytime; during the day; day,3
百,,Bǎi,surname Bai,3
班,,Bān,surname Ban,3
班级,,bān jí,class (group of students); grade (in school),3
班长,,bān zhǎng,class monitor; squad leader; team leader,3
搬,,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,3
搬家,,bān jiā,to move house; to relocate; to remove (sth),3
板,,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,3
办,,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,3
办法,,bàn fǎ,means; method; way (of doing sth),3
办公室,,bàn gōng shì,office; business premises; bureau,3
办理,,bàn lǐ,to handle; to transact; to conduct,3
半,,bàn,half; semi-; incomplete; (after a number) and a half,3
半年,,bàn nián,half a year,3
半天,,bàn tiān,half of the day; a long time; quite a while; midair,3
半夜,,bàn yè,midnight; in the middle of the night,3
帮,,bāng,old variant of 帮,3
帮忙,,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,3
帮助,,bāng zhù,assistance; aid; to help; to assist,3
包,,Bāo,surname Bao,3
包子,,bāo zi,bao (steamed stuffed bun),3
饱,,bǎo,to eat till full; satisfied,3
保,,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,3
保安,,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,3
保持,,bǎo chí,to keep; to maintain; to hold; to preserve,3
保存,,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),3
保护,,bǎo hù,to protect; to defend; to safeguard; protection,3
保留,,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,3
保险,,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,3
