word,length,type,hsk_levels,appears_in_multiple_levels
一,1,single,1,no
一一,2,compound,7,no
一下儿,3,compound,1,no
一下子,3,compound,5,no
一不小心,4,compound,7,no
一个劲儿,4,compound,7,no
一举,2,compound,7,no
一举一动,4,compound,7,no
一事无成,4,compound,7,no
一些,2,compound,1,no
一代,2,compound,6,no
一会儿,3,compound,1,no
一体,2,compound,7,no
一共,2,compound,2,no
一再,2,compound,4,no
一切,2,compound,3,no
一刹那,3,compound,7,no
一动不动,4,compound,7,no
一半,2,compound,1,no
一卡通,3,compound,7,no
一口气,3,compound,5,no
一句话,3,compound,5,no
一同,2,compound,6,no
一向,2,compound,5,no
一味,2,compound,7,no
一回事,3,compound,7,no
一块儿,3,compound,1,no
一塌糊涂,4,compound,7,no
一声不吭,4,compound,7,no
一大早,3,compound,7,no
一天到晚,4,compound,7,no
一头,2,compound,7,no
一如既往,4,compound,7,no
一定,2,compound,2,no
一家人,3,compound,7,no
一帆风顺,4,compound,7,no
一带,2,compound,5,no
一干二净,4,compound,7,no
一年到头,4,compound,7,no
一应俱全,4,compound,7,no
一度,2,compound,7,no
一律,2,compound,4,no
一心,2,compound,7,no
一心一意,4,compound,7,no
一成不变,4,compound,7,no
一手,2,compound,7,no
一技之长,4,compound,7,no
一把手,3,compound,7,no
一揽子,3,compound,7,no
一方面,3,compound,3,no
一旁,2,compound,7,no
一无所有,4,compound,7,no
一无所知,4,compound,7,no
一旦,2,compound,5,no
一早,2,compound,7,no
一时,2,compound,6,no
一晃,2,compound,7,no
一样,2,compound,1,no
一概,2,compound,7,no
一概而论,4,compound,7,no
一模一样,4,compound,6,no
一次性,3,compound,6,no
一毛不拔,4,compound,7,no
一流,2,compound,5,no
一点儿,3,compound,1,no
一点点,3,compound,2,no
一生,2,compound,2,no
一番,2,compound,6,no
一目了然,4,compound,7,no
一直,2,compound,2,no
一眼,2,compound,7,no
一瞬间,3,compound,7,no
一筹莫展,4,compound,7,no
一系列,3,compound,7,no
一线,2,compound,7,no
