word,length,type,unique_to_level,also_appears_in_levels,character_count
一下子,3,compound,yes,none,3
一口气,3,compound,yes,none,3
一句话,3,compound,yes,none,3
一向,2,compound,yes,none,2
一带,2,compound,yes,none,2
一旦,2,compound,yes,none,2
一流,2,compound,yes,none,2
一路,2,compound,yes,none,2
一身,2,compound,yes,none,2
一辈子,3,compound,yes,none,3
上下,2,compound,yes,none,2
上涨,2,compound,yes,none,2
上级,2,compound,yes,none,2
不停,2,compound,yes,none,2
不免,2,compound,yes,none,2
不利,2,compound,yes,none,2
不幸,2,compound,yes,none,2
不得了,3,compound,yes,none,3
不敢当,3,compound,yes,none,3
不时,2,compound,yes,none,2
不易,2,compound,yes,none,2
不曾,2,compound,yes,none,2
不止,2,compound,yes,none,2
不耐烦,3,compound,yes,none,3
不能不,3,compound,yes,none,2
不良,2,compound,yes,none,2
不许,2,compound,yes,none,2
不足,2,compound,yes,none,2
不顾,2,compound,yes,none,2
丑,1,single,yes,none,1
专利,2,compound,yes,none,2
专辑,2,compound,yes,none,2
业务,2,compound,yes,none,2
丢,1,single,yes,none,1
两岸,2,compound,yes,none,2
严厉,2,compound,yes,none,2
严肃,2,compound,yes,none,2
个儿,2,compound,yes,none,2
中央,2,compound,yes,none,2
中断,2,compound,yes,none,2
中毒,2,compound,yes,none,2
中秋节,3,compound,yes,none,3
中药,2,compound,yes,none,2
丰收,2,compound,yes,none,2
为主,2,compound,yes,none,2
为期,2,compound,yes,none,2
为止,2,compound,yes,none,2
为难,2,compound,yes,none,2
主体,2,compound,yes,none,2
主办,2,compound,yes,none,2
主导,2,compound,yes,none,2
主管,2,compound,yes,none,2
主观,2,compound,yes,none,2
举动,2,compound,yes,none,2
之下,2,compound,yes,none,2
之中,2,compound,yes,none,2
之内,2,compound,yes,none,2
之外,2,compound,yes,none,2
乘,1,single,yes,none,1
乘坐,2,compound,yes,none,2
乘客,2,compound,yes,none,2
乘车,2,compound,yes,none,2
乙,1,single,yes,none,1
也好,2,compound,yes,none,2
乡,1,single,yes,none,1
乡村,2,compound,yes,none,2
书柜,2,compound,yes,none,2
书桌,2,compound,yes,none,2
书法,2,compound,yes,none,2
买卖,2,compound,yes,none,2
争议,2,compound,yes,none,2
二维码,3,compound,yes,none,3
亏,1,single,yes,none,1
亚军,2,compound,yes,none,2
交代,2,compound,yes,none,2
产业,2,compound,yes,none,2
享受,2,compound,yes,none,2
人力,2,compound,yes,none,2
人士,2,compound,yes,none,2
人物,2,compound,yes,none,2
人间,2,compound,yes,none,2
今日,2,compound,yes,none,2
仍旧,2,compound,yes,none,2
从中,2,compound,yes,none,2
从而,2,compound,yes,none,2
仔细,2,compound,yes,none,2
代价,2,compound,yes,none,2
代理,2,compound,yes,none,2
令,1,single,yes,none,1
以便,2,compound,yes,none,2
以往,2,compound,yes,none,2
价,1,single,yes,none,1
休闲,2,compound,yes,none,2
众多,2,compound,yes,none,2
优先,2,compound,yes,none,2
优惠,2,compound,yes,none,2
会谈,2,compound,yes,none,2
传真,2,compound,yes,none,2
传达,2,compound,yes,none,2
传递,2,compound,yes,none,2
估计,2,compound,yes,none,2
伸,1,single,yes,none,1
低于,2,compound,yes,none,2
体力,2,compound,yes,none,2
体积,2,compound,yes,none,2
使得,2,compound,yes,none,2
例外,2,compound,yes,none,2
依据,2,compound,yes,none,2
依旧,2,compound,yes,none,2
依法,2,compound,yes,none,2
依照,2,compound,yes,none,2
便于,2,compound,yes,none,2
便利,2,compound,yes,none,2
便条,2,compound,yes,none,2
保养,2,compound,yes,none,2
保卫,2,compound,yes,none,2
信念,2,compound,yes,none,2
信箱,2,compound,yes,none,2
修养,2,compound,yes,none,2
修复,2,compound,yes,none,2
修建,2,compound,yes,none,2
俱乐部,3,compound,yes,none,3
倒是,2,compound,yes,none,2
倡导,2,compound,yes,none,2
值班,2,compound,yes,none,2
停留,2,compound,yes,none,2
健全,2,compound,yes,none,2
